;China;USA;Eurozone;Nowcaster
31.03.1996;10.9;2.6;1.2;-0.053681494
30.06.1996;9.4;4;1.5;0.05329009
30.09.1996;9.2;4.1;1.8;0.125405497
31.12.1996;10.3;4.4;1.9;0.050487591
31.03.1997;10.1;4.3;2;0.259097916
30.06.1997;10;4.3;2.5;0.277591557
30.09.1997;8.6;4.7;2.7;0.34485988
31.12.1997;8.6;4.5;3.4;0.359993319
31.03.1998;7.3;4.9;3.9;0.204550517
30.06.1998;6.9;4.1;3;0.139043443
30.09.1998;7.8;4.1;2.8;0.020695451
31.12.1998;9.1;4.9;1.9;0.056778483
31.03.1999;8.9;4.8;2.2;0.090736948
30.06.1999;7.9;4.7;2.3;0.167056319
30.09.1999;7.6;4.7;2.9;0.240789993
31.12.1999;6.7;4.8;3.9;0.364021836
31.03.2000;8.7;4.2;4.2;0.394061952
30.06.2000;9.1;5.3;4.5;0.167725508
30.09.2000;8.8;4.1;3.9;-0.059943142
31.12.2000;7.5;3;3.4;-0.11425969
31.03.2001;9.5;2.3;3.1;-0.567438358
30.06.2001;8.6;1.1;2.3;-0.45661023
30.09.2001;8;0.5;1.9;-0.842964587
31.12.2001;7.5;0.2;1.4;-0.660063761
31.03.2002;8.9;1.3;0.4;-0.283328546
30.06.2002;8.8;1.3;0.9;-0.093119411
30.09.2002;9.6;2.2;1.2;-0.198778145
31.12.2002;9.1;2.1;1.2;-0.368741139
31.03.2003;11.1;1.8;0.8;-0.423689843
30.06.2003;9.1;2;0.3;-0.303750439
30.09.2003;10;3.3;0.5;0.072718157
31.12.2003;10;4.3;1;0.320192212
31.03.2004;10.6;4.3;1.9;0.217794669
30.06.2004;11.6;4.2;2.4;0.490169995
30.09.2004;9.8;3.4;2.1;0.28080113
31.12.2004;8.8;3.3;1.7;0.377578797
31.03.2005;11.1;3.9;1.4;0.267392927
30.06.2005;11.1;3.6;1.5;-0.016843471
30.09.2005;9.4;3.5;1.9;0.213784316
31.12.2005;12.4;3.1;2.2;0.284460056
31.03.2006;12.5;3.4;2.9;0.283380652
30.06.2006;13.7;3.1;3.4;0.17944396
30.09.2006;12.2;2.4;3.2;-0.045365544
31.12.2006;12.5;2.6;3.8;0.01083532
31.03.2007;13.8;1.5;3.5;0.003067199
30.06.2007;15;1.8;3.1;0.01105971
30.09.2007;14.3;2.2;3;-0.185912968
31.12.2007;13.9;2;2.3;-0.336759295
31.03.2008;11.5;1.1;2.2;-0.706142015
30.06.2008;10.9;1.1;1.1;-0.73394852
30.09.2008;9.5;0;0.1;-1.031196407
31.12.2008;7.1;-2.8;-2.1;-2.159448281
31.03.2009;6.4;-3.3;-5.7;-2.418876731
30.06.2009;8.2;-3.9;-5.4;-1.684331309
30.09.2009;10.6;-3;-4.5;-0.742694793
31.12.2009;11.9;0.2;-2.3;-0.377149535
31.03.2010;12.2;1.7;1.2;-0.032260752
30.06.2010;10.8;2.8;2.3;0.306517263
30.09.2010;9.9;3.2;2.3;0.131846179
31.12.2010;9.9;2.6;2.4;0.170941804
31.03.2011;10.2;1.9;2.9;0.289660476
30.06.2011;10;1.7;1.9;0.079356867
30.09.2011;9.4;0.9;1.6;-0.153426994
31.12.2011;8.8;1.6;0.6;-0.265699962
31.03.2012;8.1;2.7;-0.5;-0.033459288
30.06.2012;7.7;2.4;-0.8;-0.09183666
30.09.2012;7.5;2.5;-1;-0.259747699
31.12.2012;8.1;1.5;-1.1;-0.189143079
31.03.2013;7.9;1.6;-1.2;-0.070037329
30.06.2013;7.6;1.3;-0.4;-0.111184864
30.09.2013;7.9;1.9;0;0.159915513
31.12.2013;7.7;2.6;0.7;0.101028852
31.03.2014;7.5;1.4;1.6;0.114521893
30.06.2014;7.6;2.7;1.2;0.238155537
30.09.2014;7.2;3.1;1.4;0.167519432
31.12.2014;7.3;2.9;1.6;0.186528778
31.03.2015;7.1;4;1.8;0.069912782
30.06.2015;7.1;3.3;2.1;0.01655014
30.09.2015;7;2.4;2;0.051709879
31.12.2015;6.9;1.9;2.1;0.08353181
31.03.2016;6.9;1.6;1.9;-0.025379526
30.06.2016;6.8;1.3;1.8;0.005680206
30.09.2016;6.8;1.6;1.8;0.039357746
31.12.2016;6.9;2;2.1;0.110144304
31.03.2017;7;2.1;2.2;0.36348406
30.06.2017;7;2.2;2.6;0.37229194
30.09.2017;6.9;2.4;2.9;0.273531567
31.12.2017;6.8;2.8;3;0.515681274
31.03.2018;6.9;2.9;2.6;0.472525124
30.06.2018;6.9;3.2;2.2;0.263140553
30.09.2018;6.7;3.1;1.6;0.316242255
31.12.2018;6.5;2.5;1.2;0.167539267
31.03.2019;6.4;2.7;1.4;-0.044043458
30.06.2019;6.2;2.3;1.2;0.05168943
30.09.2019;6;2.1;1.3;0.028220703
31.12.2019;6;2.3;1;-0.089754607
